OBJECTID,Type,Name,Address,City,State,County,Zip,X,Y,OBJECTID_1
1001,Fast Food,Dunkin' Donuts,2320 N Hanover Pike,Hampstead,MD,Carroll,21074,-8556803.91173,4813449.7139,1001
1002,Fast Food,Dunkin' Donuts,822 South Main St,Hampstead,MD,Carroll,21074,-8554567.3757,4807497.05394,1002
1003,Fast Food,Five Guys,2319 Hanover Pike,Hampstead,MD,Carroll,21074,-8556856.7635,4813583.84057,1003
1004,Fast Food,KFC,2309 Hanover Pike,Hampstead,MD,Carroll,21074,-8556801.08637,4813478.19956,1004
1005,Fast Food,McDonald's,4225 North Woods Trl,Hampstead,MD,Carroll,21074,-8554422.54807,4807411.27099,1005
1006,Fast Food,Subway,2275 Hanover Pike,Hampstead,MD,Carroll,21074,-8556655.7784,4813214.90426,1006
1007,Fast Food,Subway,1155 S Main St,Hampstead,MD,Carroll,21074,-8554925.27346,4808820.97894,1007
1008,Fast Food,Wendy's,4224 North Woods Trl,Hampstead,MD,Carroll,21074,-8554432.64728,4807423.76855,1008
1009,Fast Food,Pizza Hut,224 W. Main,Hancock,MD,Washington,21750,-8703641.33348,4822438.23032,1009
1010,Fast Food,Hardees,42 East Main Street,Hancock,MD,Washington,21750,-8702454.08189,4822216.51209,1010
1011,Fast Food,Subway,179 W Main Street,Hancock,MD,Washington,21750,-8703432.28786,4822386.98201,1011
1012,Fast Food,Burger King,7426 New Ridge Rd,Hanover,MD,Anne Arundel,21076,-8538395.43023,4747011.9956,1012
1013,Fast Food,Burger King,7500 Connolly Drive,Hanover,MD,Anne Arundel,21076,-8536034.75703,4744580.81556,1013
1014,Fast Food,Dairy Queen,7000 Arundel Mills Cir,Hanover,MD,Anne Arundel,21076,-8541056.3101,4744950.48962,1014
1015,Fast Food,Dunkin' Donuts,1348 Ashton Rd.,Hanover,MD,Anne Arundel,21076,-8539228.03791,4744639.37624,1015
1016,Fast Food,Five Guys,7690 Dorchester Blvd.,Hanover,MD,Anne Arundel,20794,-8542870.43175,4743841.02092,1016
1017,Fast Food,Hardees,2635 Annapolis Rd,Hanover,MD,Anne Arundel,21076,-8542705.44696,4740552.76231,1017
1018,Fast Food,Moe's Southwest Grill,7000 Arundel Mills Mall Circle,Hanover,MD,Anne Arundel,21076,-8541056.3101,4744950.48962,1018
1019,Fast Food,Popeye's,7000 Arundel Mills Circle,Hanover,MD,Anne Arundel,21076,-8541056.3101,4744950.48962,1019
